gap_no,gap_width
1,154.0
2,116.5
3,88.0
4,73.5
5,63.5
6,55.0
7,48.0
8,42.0
9,36.5
10,31.5
11,27.5
12,24.0
13,21.5
14,19.5
15,17.5
16,15.5
17,14.5
18,13.5
19,13.0
20,12.5
21,12.5
