bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,118.82,121.32,123.82,5.0,12.0,600.0
2,200.42,202.92,205.42,5.0,12.0,600.0
3,271.06,273.56,276.06,5.0,12.0,600.0
4,334.06,336.56,339.06,5.0,12.0,600.0
5,391.01,393.51,396.01,5.0,12.0,600.0
6,442.89,445.39,447.89,5.0,12.0,600.0
7,490.4,492.9,495.4,5.0,12.0,600.0
8,534.04,536.54,539.04,5.0,12.0,600.0
9,574.22,576.72,579.22,5.0,12.0,600.0
10,611.29,613.79,616.29,5.0,12.0,600.0
11,645.52,648.02,650.52,5.0,12.0,600.0
12,677.15,679.65,682.15,5.0,12.0,600.0
13,706.42,708.92,711.42,5.0,12.0,600.0
14,733.5,736.0,738.5,5.0,12.0,600.0
15,758.59,761.09,763.59,5.0,12.0,600.0
16,781.85,784.35,786.85,5.0,12.0,600.0
17,803.43,805.93,808.43,5.0,12.0,600.0
18,823.47,825.97,828.47,5.0,12.0,600.0
19,842.11,844.61,847.11,5.0,12.0,600.0
20,859.48,861.98,864.48,5.0,12.0,600.0
21,875.7,878.2,880.7,5.0,12.0,600.0
22,890.9,893.4,895.9,5.0,12.0,600.0
23,905.2,907.7,910.2,5.0,12.0,600.0
24,918.69,921.19,923.69,5.0,12.0,600.0
25,931.51,934.01,936.51,5.0,12.0,600.0
26,943.74,946.24,948.74,5.0,12.0,600.0
27,955.51,958.01,960.51,5.0,12.0,600.0
28,966.92,969.42,971.92,5.0,12.0,600.0
29,978.07,980.57,983.07,5.0,12.0,600.0
30,989.06,991.56,994.06,5.0,12.0,600.0
