bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,132.5,135.0,137.5,5.0,12.0,600.0
2,233.27,235.77,238.27,5.0,12.0,600.0
3,321.24,323.74,326.24,5.0,12.0,600.0
4,399.89,402.39,404.89,5.0,12.0,600.0
5,471.08,473.58,476.08,5.0,12.0,600.0
6,536.04,538.54,541.04,5.0,12.0,600.0
7,595.72,598.22,600.72,5.0,12.0,600.0
8,650.89,653.39,655.89,5.0,12.0,600.0
9,702.21,704.71,707.21,5.0,12.0,600.0
10,750.29,752.79,755.29,5.0,12.0,600.0
11,795.68,798.18,800.68,5.0,12.0,600.0
12,838.91,841.41,843.91,5.0,12.0,600.0
13,880.48,882.98,885.48,5.0,12.0,600.0
14,920.87,923.37,925.87,5.0,12.0,600.0
15,960.55,963.05,965.55,5.0,12.0,600.0
