gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,122.43
1,gap_1,bar_1 - bar_2,63.52
2,gap_2,bar_2 - bar_3,54.76
3,gap_3,bar_3 - bar_4,49.04
4,gap_4,bar_4 - bar_5,44.7
5,gap_5,bar_5 - bar_6,41.15
6,gap_6,bar_6 - bar_7,38.13
7,gap_7,bar_7 - bar_8,35.49
8,gap_8,bar_8 - bar_9,33.14
9,gap_9,bar_9 - bar_10,31.01
10,gap_10,bar_10 - bar_11,29.06
11,gap_11,bar_11 - bar_12,27.27
12,gap_12,bar_12 - bar_13,25.6
13,gap_13,bar_13 - bar_14,24.03
14,gap_14,bar_14 - bar_15,22.57
15,gap_15,bar_15 - bar_16,21.18
16,gap_16,bar_16 - bar_17,19.86
17,gap_17,bar_17 - bar_18,18.61
18,gap_18,bar_18 - bar_19,17.42
19,gap_19,bar_19 - bar_20,16.28
20,gap_20,bar_20 - bar_21,15.18
21,gap_21,bar_21 - bar_22,14.13
22,gap_22,bar_22 - bar_23,13.12
23,gap_23,bar_23 - bar_24,12.14
24,gap_24,bar_24 - bar_25,11.2
25,gap_25,bar_25 - bar_26,10.29
26,gap_26,bar_26 - bar_27,9.4
27,gap_27,bar_27 - bar_28,8.55
28,gap_28,bar_28 - bar_29,7.72
29,gap_29,bar_29 - bar_30,6.91
30,right_edge_gap,bar_30 - right_frame,6.12
